query,_id,_score,name,symbol,ensembl.gene,notfound,ensembl
AC092691.1,None,None,None,None,None,True,None
LINC02024,105374057,27.063105,long intergenic non-protein coding RNA 2024,LINC02024,ENSG00000241213,False,None
AC092691.3,None,None,None,None,None,True,None
AC068633.1,None,None,None,None,None,True,None
IGSF11,152404,17.592524,immunoglobulin superfamily member 11,IGSF11,ENSG00000144847,False,None
IGSF11-AS1,100506765,27.065735,IGSF11 antisense RNA 1,IGSF11-AS1,ENSG00000239877,False,None
C3orf30,None,None,None,None,None,True,None
AC083800.1,None,None,None,None,None,True,None
UPK1B,7348,18.220474,uroplakin 1B,UPK1B,ENSG00000114638,False,None
B4GALT4,8702,17.592865,"beta-1,4-galactosyltransferase 4",B4GALT4,ENSG00000121578,False,None
B4GALT4-AS1,100874201,27.06384,B4GALT4 antisense RNA 1,B4GALT4-AS1,ENSG00000240254,False,None
ARHGAP31,57514,17.625298,Rho GTPase activating protein 31,ARHGAP31,ENSG00000031081,False,None
ARHGAP31-AS1,100874246,27.063417,ARHGAP31 antisense RNA 1,ARHGAP31-AS1,ENSG00000241155,False,None
TMEM39A,55254,17.586098,transmembrane protein 39A,TMEM39A,ENSG00000176142,False,None
POGLUT1,56983,17.555841,protein O-glucosyltransferase 1,POGLUT1,ENSG00000163389,False,None
AC073352.1,None,None,None,None,None,True,None
TIMMDC1,51300,17.653673,translocase of inner mitochondrial membrane domain containing 1,TIMMDC1,ENSG00000113845,False,None
CD80,941,18.549213,CD80 molecule,CD80,ENSG00000121594,False,None
AC073352.2,None,None,None,None,None,True,None
ADPRH,141,17.697369,ADP-ribosylarginine hydrolase,ADPRH,ENSG00000144843,False,None
PLA1A,51365,17.60217,phospholipase A1 member A,PLA1A,ENSG00000144837,False,None
POPDC2,64091,17.637058,popeye domain containing 2,POPDC2,ENSG00000121577,False,None
COX17,10063,20.65727,cytochrome c oxidase copper chaperone COX17,COX17,ENSG00000138495,False,None
MAATS1,None,None,None,None,None,True,None
AC069444.1,None,None,None,None,None,True,None
NR1I2,8856,18.22392,nuclear receptor subfamily 1 group I member 2,NR1I2,ENSG00000144852,False,None
GSK3B,2932,18.107695,glycogen synthase kinase 3 beta,GSK3B,ENSG00000082701,False,None
AC092910.3,None,None,None,None,None,True,None
GPR156,165829,17.59712,G protein-coupled receptor 156,GPR156,ENSG00000175697,False,None
LRRC58,116064,18.094372,leucine rich repeat containing 58,LRRC58,ENSG00000163428,False,None
AC063952.4,None,None,None,None,None,True,None
FSTL1,11167,18.126364,follistatin like 1,FSTL1,ENSG00000163430,False,None
NDUFB4,4710,17.622248,NADH:ubiquinone oxidoreductase subunit B4,NDUFB4,ENSG00000065518,False,None
HGD,3081,17.533587,"homogentisate 1,2-dioxygenase",HGD,ENSG00000113924,False,None
RABL3,285282,17.57659,"RAB, member of RAS oncogene family like 3",RABL3,ENSG00000144840,False,None
GTF2E1,2960,17.578863,general transcription factor IIE subunit 1,GTF2E1,ENSG00000153767,False,None
LINC02049,101926983,27.063417,long intergenic non-protein coding RNA 2049,LINC02049,ENSG00000243593,False,None
STXBP5L,9515,17.558792,syntaxin binding protein 5L,STXBP5L,ENSG00000145087,False,None
POLQ,10721,17.624985,DNA polymerase theta,POLQ,ENSG00000051341,False,None
ARGFX,503582,20.016174,arginine-fifty homeobox,ARGFX,ENSG00000186103,False,None
FBXO40,51725,17.964876,F-box protein 40,FBXO40,ENSG00000163833,False,None
HCLS1,3059,17.967796,hematopoietic cell-specific Lyn substrate 1,HCLS1,ENSG00000180353,False,None
GOLGB1,2804,17.61564,golgin B1,GOLGB1,ENSG00000173230,False,None
IQCB1,9657,17.832798,IQ motif containing B1,IQCB1,ENSG00000173226,False,None
EAF2,55840,17.651714,ELL associated factor 2,EAF2,ENSG00000145088,False,None
SLC15A2,6565,17.586098,solute carrier family 15 member 2,SLC15A2,ENSG00000163406,False,None
ILDR1,286676,18.200361,immunoglobulin like domain containing receptor 1,ILDR1,ENSG00000145103,False,None
CD86,942,18.422695,CD86 molecule,CD86,ENSG00000114013,False,None
CASR,846,17.593975,calcium sensing receptor,CASR,ENSG00000036828,False,None
CSTA,1475,18.22418,cystatin A,CSTA,ENSG00000121552,False,None
CCDC58,None,None,None,None,None,True,None
FAM162A,26355,17.69653,family with sequence similarity 162 member A,FAM162A,ENSG00000114023,False,None
WDR5B,54554,19.03959,WD repeat domain 5B,WDR5B,ENSG00000196981,False,None
AC083798.2,None,None,None,None,None,True,None
KPNA1,3836,17.714357,karyopherin subunit alpha 1,KPNA1,ENSG00000114030,False,None
PARP9,83666,17.741858,poly(ADP-ribose) polymerase family member 9,PARP9,ENSG00000138496,False,None
DTX3L,151636,18.305595,deltex E3 ubiquitin ligase 3L,DTX3L,ENSG00000163840,False,None
PARP15,165631,20.370926,poly(ADP-ribose) polymerase family member 15,PARP15,ENSG00000173200,False,None
PARP14,54625,18.884579,poly(ADP-ribose) polymerase family member 14,PARP14,ENSG00000173193,False,None
HSPBAP1,79663,17.585701,HSPB1 associated protein 1,HSPBAP1,ENSG00000169087,False,None
DIRC2,None,None,None,None,None,True,None
LINC02035,100129550,27.059961,long intergenic non-protein coding RNA 2035,LINC02035,ENSG00000273033,False,None
SEMA5B,54437,18.180416,semaphorin 5B,SEMA5B,ENSG00000082684,False,None
PDIA5,10954,17.572054,protein disulfide isomerase family A member 5,PDIA5,ENSG00000065485,False,None
SEC22A,26984,17.62269,"SEC22 homolog A, vesicle trafficking protein",SEC22A,ENSG00000121542,False,None
AC112503.2,None,None,None,None,None,True,None
ADCY5,111,17.590576,adenylate cyclase 5,ADCY5,ENSG00000173175,False,None
AC112503.1,None,None,None,None,None,True,None
HACD2,201562,17.511082,3-hydroxyacyl-CoA dehydratase 2,HACD2,ENSG00000206527,False,None
MYLK-AS1,100506826,27.059961,MYLK antisense RNA 1,MYLK-AS1,ENSG00000239523,False,None
MYLK,4638,18.196775,myosin light chain kinase,MYLK,ENSG00000065534,False,None
MYLK-AS2,100873940,27.059961,MYLK antisense RNA 2,MYLK-AS2,ENSG00000250174,False,None
AC020634.1,None,None,None,None,None,True,None
CCDC14,64770,17.682579,coiled-coil domain containing 14,CCDC14,ENSG00000175455,False,None
ROPN1,54763,19.334501,rhophilin associated tail protein 1,ROPN1,ENSG00000065371,False,None
KALRN,8997,18.316225,kalirin RhoGEF kinase,KALRN,ENSG00000160145,False,None
UMPS,7372,17.57728,uridine monophosphate synthetase,UMPS,ENSG00000114491,False,None
ITGB5,3693,17.618284,integrin subunit beta 5,ITGB5,ENSG00000082781,False,None
ITGB5-AS1,ENSG00000244286,26.270922,ITGB5 antisense RNA 1,ITGB5-AS1,ENSG00000244286,False,None
MUC13,56667,18.45353,"mucin 13, cell surface associated",MUC13,ENSG00000173702,False,None
HEG1,57493,17.658455,heart development protein with EGF like domains 1,HEG1,ENSG00000173706,False,None
SLC12A8,84561,17.57926,solute carrier family 12 member 8,SLC12A8,ENSG00000221955,False,None
ZNF148,7707,17.550264,zinc finger protein 148,ZNF148,ENSG00000163848,False,None
SNX4,8723,17.609114,sorting nexin 4,SNX4,ENSG00000114520,False,None
OSBPL11,114885,16.882488,oxysterol binding protein like 11,OSBPL11,ENSG00000144909,False,None
AC092902.3,None,None,None,None,None,True,None
AC092903.2,None,None,None,None,None,True,None
ALG1L,None,None,None,None,None,True,None
ROPN1B,152015,23.657682,rhophilin associated tail protein 1B,ROPN1B,ENSG00000114547,False,None
SLC41A3,54946,18.207039,solute carrier family 41 member 3,SLC41A3,ENSG00000114544,False,None
AC117422.1,None,None,None,None,None,True,None
AC079848.1,None,None,None,None,None,True,None
ALDH1L1,10840,18.26138,aldehyde dehydrogenase 1 family member L1,ALDH1L1,ENSG00000144908,False,None
ALDH1L1-AS1,100874204,27.06384,ALDH1L1 antisense RNA 1,ALDH1L1-AS1,ENSG00000250218,False,None
ALDH1L1-AS2,100862662,27.065735,ALDH1L1 antisense RNA 2,ALDH1L1-AS2,ENSG00000246022,False,None
AC016924.1,None,None,None,None,None,True,None
AC063919.1,None,None,None,None,None,True,None
KLF15,28999,17.747545,KLF transcription factor 15,KLF15,ENSG00000163884,False,None
CCDC37-DT,None,None,None,None,None,True,None
CFAP100,348807,17.724209,cilia and flagella associated protein 100,CFAP100,ENSG00000163885,False,None
ZXDC,79364,18.30533,ZXD family zinc finger C,ZXDC,ENSG00000070476,False,None
UROC1,131669,17.581093,urocanate hydratase 1,UROC1,ENSG00000159650,False,None
CHST13,166012,18.234253,carbohydrate sulfotransferase 13,CHST13,ENSG00000180767,False,None
C3orf22,152065,24.046911,chromosome 3 open reading frame 22,C3orf22,ENSG00000180697,False,None
TXNRD3NB,None,None,None,None,None,True,None
TXNRD3NB.1,None,None,None,None,None,True,None
TXNRD3,114112,16.731232,thioredoxin reductase 3,TXNRD3,ENSG00000197763,False,None
CHCHD6,84303,18.319937,coiled-coil-helix-coiled-coil-helix domain containing 6,CHCHD6,ENSG00000159685,False,None
PLXNA1,5361,18.072454,plexin A1,PLXNA1,ENSG00000114554,False,None
C3orf56,None,None,None,None,None,True,None
LINC02016,101927123,27.062708,long intergenic non-protein coding RNA 2016,LINC02016,ENSG00000244215,False,None
LINC01471,101927149,27.063547,long intergenic non-protein coding RNA 1471,LINC01471,ENSG00000239921,False,None
AC016968.1,None,None,None,None,None,True,None
LINC02034,ENSG00000282975,26.271631,long intergenic non-protein coding RNA 2034,LINC02034,ENSG00000282975,False,None
AC084035.1,None,None,None,None,None,True,None
TPRA1,131601,17.581451,transmembrane protein adipocyte associated 1,TPRA1,ENSG00000163870,False,None
MCM2,4171,17.404345,minichromosome maintenance complex component 2,MCM2,ENSG00000073111,False,None
PODXL2,50512,17.639421,podocalyxin like 2,PODXL2,ENSG00000114631,False,None
ABTB1,80325,17.590967,ankyrin repeat and BTB domain containing 1,ABTB1,ENSG00000114626,False,None
MGLL,11343,17.554735,monoglyceride lipase,MGLL,ENSG00000074416,False,None
KBTBD12,166348,17.551762,kelch repeat and BTB domain containing 12,KBTBD12,ENSG00000187715,False,None
SEC61A1,29927,18.063099,SEC61 translocon subunit alpha 1,SEC61A1,ENSG00000058262,False,None
RUVBL1,8607,17.56523,RuvB like AAA ATPase 1,RUVBL1,ENSG00000175792,False,None
RUVBL1-AS1,100874089,27.063547,RUVBL1 antisense RNA 1,RUVBL1-AS1,ENSG00000239608,False,None
EEFSEC,60678,17.56709,"eukaryotic elongation factor, selenocysteine-tRNA specific",EEFSEC,ENSG00000284869,False,"[{'gene': 'ENSG00000284869'}, {'gene': 'ENSG00000132394'}]"
DNAJB8,165721,18.361092,DnaJ heat shock protein family (Hsp40) member B8,DNAJB8,ENSG00000179407,False,None
DNAJB8-AS1,285224,27.063547,DNAJB8 antisense RNA 1,DNAJB8-AS1,ENSG00000242049,False,None
GATA2,2624,18.168966,GATA binding protein 2,GATA2,ENSG00000179348,False,None
GATA2-AS1,ENSG00000244300,26.271631,GATA2 antisense RNA 1,GATA2-AS1,ENSG00000244300,False,None
LINC01565,23434,26.273949,long intergenic non-protein coding RNA 1565,LINC01565,ENSG00000198685,False,None
RPN1,6184,17.465364,ribophorin I,RPN1,ENSG00000163902,False,None
RAB7A,7879,17.707218,"RAB7A, member RAS oncogene family",RAB7A,ENSG00000075785,False,None
AC112484.3,None,None,None,None,None,True,None
AC112484.1,None,None,None,None,None,True,None
ACAD9,28976,17.602041,acyl-CoA dehydrogenase family member 9,ACAD9,ENSG00000177646,False,None
KIAA1257,None,None,None,None,None,True,None
EFCC1,79825,17.76426,EF-hand and coiled-coil domain containing 1,EFCC1,ENSG00000114654,False,None
GP9,2815,17.68187,glycoprotein IX platelet,GP9,ENSG00000169704,False,None
RAB43,339122,17.912195,"RAB43, member RAS oncogene family",RAB43,ENSG00000172780,False,None
ISY1-RAB43,100534599,26.271315,ISY1-RAB43 readthrough,ISY1-RAB43,ENSG00000261796,False,None
AC108673.2,None,None,None,None,None,True,None
ISY1,57461,17.615686,ISY1 splicing factor homolog,ISY1,ENSG00000240682,False,None
AC108673.3,None,None,None,None,None,True,None
CNBP,7555,18.262716,CCHC-type zinc finger nucleic acid binding protein,CNBP,ENSG00000169714,False,None
COPG1,22820,18.183254,COPI coat complex subunit gamma 1,COPG1,ENSG00000181789,False,None
HMCES,56941,17.587088,"5-hydroxymethylcytosine binding, ES cell specific",HMCES,ENSG00000183624,False,None
H1FX,None,None,None,None,None,True,None
H1FX-AS1,None,None,None,None,None,True,None
EFCAB12,90288,18.652431,EF-hand calcium binding domain 12,EFCAB12,ENSG00000172771,False,None
MBD4,8930,17.625278,"methyl-CpG binding domain 4, DNA glycosylase",MBD4,ENSG00000129071,False,None
IFT122,55764,17.590967,intraflagellar transport 122,IFT122,ENSG00000163913,False,None
RHO,6010,15.879429,rhodopsin,RHO,ENSG00000163914,False,None
H1FOO,None,None,None,None,None,True,None
PLXND1,23129,17.613758,plexin D1,PLXND1,ENSG00000004399,False,None
TMCC1,23023,18.13065,transmembrane and coiled-coil domain family 1,TMCC1,ENSG00000172765,False,None
TMCC1-AS1,None,None,None,None,None,True,None
AC083906.3,None,None,None,None,None,True,None
TRH,7200,17.56935,thyrotropin releasing hormone,TRH,ENSG00000170893,False,None
ALG1L2,644974,24.787115,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2,ALG1L2,ENSG00000251287,False,None
LINC02014,ENSG00000248243,26.271364,long intergenic non-protein coding RNA 2014,LINC02014,ENSG00000248243,False,None
LINC02021,105374104,27.063105,long intergenic non-protein coding RNA 2021,LINC02021,ENSG00000249846,False,None
COL6A5,256076,19.16143,collagen type VI alpha 5 chain,COL6A5,ENSG00000172752,False,None
COL6A6,131873,18.682213,collagen type VI alpha 6 chain,COL6A6,ENSG00000206384,False,None
PIK3R4,30849,17.565542,phosphoinositide-3-kinase regulatory subunit 4,PIK3R4,ENSG00000196455,False,None
ATP2C1,27032,17.549131,ATPase secretory pathway Ca2+ transporting 1,ATP2C1,ENSG00000017260,False,None
AC055733.2,None,None,None,None,None,True,None
ASTE1,28990,18.139977,asteroid homolog 1,ASTE1,ENSG00000034533,False,None
NEK11,79858,17.879766,NIMA related kinase 11,NEK11,ENSG00000114670,False,None
AC116424.1,None,None,None,None,None,True,None
NUDT16,131870,19.328165,nudix hydrolase 16,NUDT16,ENSG00000198585,False,None
MRPL3,11222,17.425201,mitochondrial ribosomal protein L3,MRPL3,ENSG00000114686,False,None
AC107027.1,None,None,None,None,None,True,None
CPNE4,131034,18.248642,copine 4,CPNE4,ENSG00000196353,False,None
ACPP,None,None,None,None,None,True,None
DNAJC13,23317,18.00512,DnaJ heat shock protein family (Hsp40) member C13,DNAJC13,ENSG00000138246,False,None
ACAD11,84129,17.721714,acyl-CoA dehydrogenase family member 11,ACAD11,ENSG00000240303,False,None
NPHP3-ACAD11,100532724,27.063105,NPHP3-ACAD11 readthrough (NMD candidate),NPHP3-ACAD11,ENSG00000274810,False,None
ACKR4,51554,18.230783,atypical chemokine receptor 4,ACKR4,ENSG00000129048,False,None
UBA5,79876,17.564342,ubiquitin like modifier activating enzyme 5,UBA5,ENSG00000081307,False,None
NPHP3,27031,17.615953,nephrocystin 3,NPHP3,ENSG00000113971,False,None
NPHP3-AS1,348808,27.063417,NPHP3 antisense RNA 1,NPHP3-AS1,ENSG00000248724,False,None
AC079942.1,None,None,None,None,None,True,None
TMEM108,66000,17.63719,transmembrane protein 108,TMEM108,ENSG00000144868,False,None
TMEM108-AS1,ENSG00000251011,26.271759,TMEM108 antisense RNA 1,TMEM108-AS1,ENSG00000251011,False,None
BFSP2,8419,17.632769,beaded filament structural protein 2,BFSP2,ENSG00000170819,False,None
BFSP2-AS1,85003,27.062708,BFSP2 antisense RNA 1,BFSP2-AS1,ENSG00000249993,False,None
AC022296.3,None,None,None,None,None,True,None
CDV3,55573,17.58342,CDV3 homolog,CDV3,ENSG00000091527,False,None
TOPBP1,11073,17.560774,DNA topoisomerase II binding protein 1,TOPBP1,ENSG00000163781,False,None
TF,7018,19.503326,transferrin,TF,ENSG00000091513,False,None
SRPRB,58477,17.981339,SRP receptor subunit beta,SRPRB,ENSG00000144867,False,None
RAB6B,51560,18.601917,"RAB6B, member RAS oncogene family",RAB6B,ENSG00000154917,False,None
C3orf36,80111,27.06384,chromosome 3 putative open reading frame 36,C3orf36,ENSG00000288547,False,None
SLCO2A1,6578,17.623383,solute carrier organic anion transporter family member 2A1,SLCO2A1,ENSG00000174640,False,None
LINC02000,100507210,27.06384,long intergenic non-protein coding RNA 2000,LINC02000,ENSG00000243832,False,None
RYK,6259,16.640747,receptor like tyrosine kinase,RYK,ENSG00000163785,False,None
LINC02004,105374119,27.063417,long intergenic non-protein coding RNA 2004,LINC02004,ENSG00000240006,False,None
AC010207.1,None,None,None,None,None,True,None
AMOTL2,51421,18.280363,angiomotin like 2,AMOTL2,ENSG00000114019,False,None
ANAPC13,25847,17.601776,anaphase promoting complex subunit 13,ANAPC13,ENSG00000129055,False,None
CEP63,80254,17.595556,centrosomal protein 63,CEP63,ENSG00000182923,False,None
EPHB1,2047,17.304386,EPH receptor B1,EPHB1,ENSG00000154928,False,None
KY,339855,17.630417,kyphoscoliosis peptidase,KY,ENSG00000174611,False,None
PPP2R3A,5523,17.694473,protein phosphatase 2 regulatory subunit B''alpha,PPP2R3A,ENSG00000073711,False,None
AC072039.2,None,None,None,None,None,True,None
MSL2,55167,18.09812,MSL complex subunit 2,MSL2,ENSG00000174579,False,None
PCCB,5096,17.56117,propionyl-CoA carboxylase subunit beta,PCCB,ENSG00000114054,False,None
STAG1,10274,18.172596,STAG1 cohesin complex component,STAG1,ENSG00000118007,False,None
AC117382.2,None,None,None,None,None,True,None
SLC35G2,80723,18.209743,solute carrier family 35 member G2,SLC35G2,ENSG00000168917,False,None
AC096992.2,None,None,None,None,None,True,None
NCK1-DT,ENSG00000239213,26.271631,NCK1 divergent transcript,NCK1-DT,ENSG00000239213,False,None
NCK1,4690,18.879307,NCK adaptor protein 1,NCK1,ENSG00000158092,False,None
IL20RB,53833,18.23817,interleukin 20 receptor subunit beta,IL20RB,ENSG00000174564,False,None
IL20RB-AS1,ENSG00000249407,26.271364,IL20RB antisense RNA 1,IL20RB-AS1,ENSG00000249407,False,None
SOX14,8403,17.599735,SRY-box transcription factor 14,SOX14,ENSG00000168875,False,None
LINC01210,100507274,27.063417,long intergenic non-protein coding RNA 1210,LINC01210,ENSG00000239513,False,None
AC007159.1,None,None,None,None,None,True,None
CLDN18,51208,17.709293,claudin 18,CLDN18,ENSG00000066405,False,None
AC016252.1,None,None,None,None,None,True,None
DZIP1L,199221,18.233856,DAZ interacting zinc finger protein 1 like,DZIP1L,ENSG00000158163,False,None
A4GNT,51146,18.295156,"alpha-1,4-N-acetylglucosaminyltransferase",A4GNT,ENSG00000118017,False,None
DBR1,51163,17.483582,debranching RNA lariats 1,DBR1,ENSG00000138231,False,None
ARMC8,25852,17.544674,armadillo repeat containing 8,ARMC8,ENSG00000114098,False,None
NME9,347736,17.80058,NME/NM23 family member 9,NME9,ENSG00000181322,False,None
MRAS,22808,18.08546,muscle RAS oncogene homolog,MRAS,ENSG00000158186,False,None
ESYT3,83850,17.574322,extended synaptotagmin 3,ESYT3,ENSG00000158220,False,None
CEP70,80321,17.682314,centrosomal protein 70,CEP70,ENSG00000114107,False,None
FAIM,55179,18.179726,Fas apoptotic inhibitory molecule,FAIM,ENSG00000158234,False,None
PIK3CB,5291,17.609406,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",PIK3CB,ENSG00000051382,False,None
LINC01391,103344930,27.06384,long intergenic non-protein coding RNA 1391,LINC01391,ENSG00000244578,False,None
FOXL2,668,18.338655,forkhead box L2,FOXL2,ENSG00000183770,False,None
FOXL2NB,401089,21.582066,FOXL2 neighbor,FOXL2NB,ENSG00000206262,False,None
PRR23A,729627,23.906347,proline rich 23A,PRR23A,ENSG00000206260,False,None
MRPS22,56945,17.504549,mitochondrial ribosomal protein S22,MRPS22,ENSG00000175110,False,None
PRR23B,389151,23.343185,proline rich 23B,PRR23B,ENSG00000184814,False,None
PRR23C,389152,23.902761,proline rich 23C,PRR23C,ENSG00000233701,False,None
BPESC1,60467,27.063105,"blepharophimosis, epicanthus inversus and ptosis candidate 1",BPESC1,ENSG00000232416,False,None
PISRT1,140464,25.360239,PISRT1 lncRNA,PISRT1,ENSG00000281473,False,None
AC024933.1,None,None,None,None,None,True,None
COPB2,9276,17.490723,COPI coat complex subunit beta 2,COPB2,ENSG00000184432,False,None
AC097103.2,None,None,None,None,None,True,None
RBP2,5948,18.104897,retinol binding protein 2,RBP2,ENSG00000114113,False,None
AC097103.1,None,None,None,None,None,True,None
RBP1,5947,18.245146,retinol binding protein 1,RBP1,ENSG00000114115,False,None
NMNAT3,349565,17.833534,nicotinamide nucleotide adenylyltransferase 3,NMNAT3,ENSG00000163864,False,None
AC110716.2,None,None,None,None,None,True,None
AC110716.1,None,None,None,None,None,True,None
AC016933.1,None,None,None,None,None,True,None
CLSTN2,64084,18.152702,calsyntenin 2,CLSTN2,ENSG00000158258,False,None
AC010181.1,None,None,None,None,None,True,None
AC010181.2,None,None,None,None,None,True,None
CLSTN2-AS1,101927808,27.063547,CLSTN2 antisense RNA 1,CLSTN2-AS1,ENSG00000250433,False,None
TRIM42,287015,18.531456,tripartite motif containing 42,TRIM42,ENSG00000155890,False,None
AC121333.1,None,None,None,None,None,True,None
SLC25A36,55186,18.07912,solute carrier family 25 member 36,SLC25A36,ENSG00000114120,False,None
SPSB4,92369,18.180416,splA/ryanodine receptor domain and SOCS box containing 4,SPSB4,ENSG00000175093,False,None
AC108727.2,None,None,None,None,None,True,None
PXYLP1,92370,17.61564,2-phosphoxylose phosphatase 1,PXYLP1,ENSG00000155893,False,None
AC117383.1,None,None,None,None,None,True,None
ZBTB38,253461,17.625278,zinc finger and BTB domain containing 38,ZBTB38,ENSG00000177311,False,None
RASA2,5922,17.639421,RAS p21 protein activator 2,RASA2,ENSG00000155903,False,None
RNF7,9616,17.677725,ring finger protein 7,RNF7,ENSG00000114125,False,None
GRK7,131890,18.34842,G protein-coupled receptor kinase 7,GRK7,ENSG00000114124,False,None
ATP1B3,483,18.251705,ATPase Na+/K+ transporting subunit beta 3,ATP1B3,ENSG00000069849,False,None
ATP1B3-AS1,ENSG00000244124,26.273949,ATP1B3 antisense RNA 1,ATP1B3-AS1,ENSG00000244124,False,None
TFDP2,7029,17.993628,transcription factor Dp-2,TFDP2,ENSG00000114126,False,None
GK5,256356,17.588253,glycerol kinase 5,GK5,ENSG00000175066,False,None
XRN1,54464,17.54774,5'-3' exoribonuclease 1,XRN1,ENSG00000114127,False,None
ATR,545,17.595158,ATR serine/threonine kinase,ATR,ENSG00000175054,False,None
PLS1,5357,17.8199,plastin 1,PLS1,ENSG00000120756,False,None
PLS1-AS1,ENSG00000239641,25.749828,PLS1 antisense RNA 1,PLS1-AS1,ENSG00000239641,False,None
TRPC1,7220,17.564835,transient receptor potential cation channel subfamily C member 1,TRPC1,ENSG00000144935,False,None
PCOLCE2,26577,18.204054,procollagen C-endopeptidase enhancer 2,PCOLCE2,ENSG00000163710,False,None
AC021074.3,None,None,None,None,None,True,None
PAQR9,344838,17.619501,progestin and adipoQ receptor family member 9,PAQR9,ENSG00000188582,False,None
PAQR9-AS1,101927832,27.063152,PAQR9 antisense RNA 1,PAQR9-AS1,ENSG00000241570,False,None
U2SURP,23350,17.685438,U2 snRNP associated SURP domain containing,U2SURP,ENSG00000163714,False,None
AC026304.1,None,None,None,None,None,True,None
AC018450.2,None,None,None,None,None,True,None
CHST2,9435,18.196972,carbohydrate sulfotransferase 2,CHST2,ENSG00000175040,False,None
SLC9A9,285195,18.265814,solute carrier family 9 member A9,SLC9A9,ENSG00000181804,False,None
SLC9A9-AS1,100885796,27.063105,SLC9A9 antisense RNA 1,SLC9A9-AS1,ENSG00000240012,False,None
SLC9A9-AS2,ENSG00000244493,26.270922,SLC9A9 antisense RNA 2,SLC9A9-AS2,ENSG00000244493,False,None
C3orf58,None,None,None,None,None,True,None
AC055758.2,None,None,None,None,None,True,None
AC055758.1,None,None,None,None,None,True,None
AC107021.1,None,None,None,None,None,True,None
LNCSRLR,109729161,27.063417,lncRNA sorafenib resistance in renal cell carcinoma associated,LNCSRLR,ENSG00000240032,False,None
PLOD2,5352,17.499762,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,ENSG00000152952,False,None
PLSCR4,57088,19.293097,phospholipid scramblase 4,PLSCR4,ENSG00000114698,False,None
PLSCR2,57047,22.865583,phospholipid scramblase 2,PLSCR2,ENSG00000163746,False,None
PLSCR1,5359,19.385447,phospholipid scramblase 1,PLSCR1,ENSG00000188313,False,None
PLSCR5,389158,18.684534,phospholipid scramblase family member 5,PLSCR5,ENSG00000231213,False,None
PLSCR5-AS1,100874104,27.065735,PLSCR5 antisense RNA 1,PLSCR5-AS1,ENSG00000241457,False,None
AC092957.1,None,None,None,None,None,True,None
LINC02010,101927866,27.065735,long intergenic non-protein coding RNA 2010,LINC02010,ENSG00000242671,False,None
ZIC4,84107,17.772413,Zic family member 4,ZIC4,ENSG00000174963,False,None
ZIC4-AS1,ENSG00000241202,26.271364,ZIC4 antisense RNA 1,ZIC4-AS1,ENSG00000241202,False,None
ZIC1,7545,17.841595,Zic family member 1,ZIC1,ENSG00000152977,False,None
AC092925.1,None,None,None,None,None,True,None
AC092958.1,None,None,None,None,None,True,None
LINC02032,100507461,27.065735,long intergenic non-protein coding RNA 2032,LINC02032,ENSG00000241131,False,None
AC092958.2,None,None,None,None,None,True,None
AC025566.1,None,None,None,None,None,True,None
LINC02045,ENSG00000243347,26.271759,long intergenic non-protein coding RNA 2045,LINC02045,ENSG00000243347,False,None
LINC02046,ENSG00000242440,26.271364,long intergenic non-protein coding RNA 2046,LINC02046,ENSG00000242440,False,None
AGTR1,185,18.076029,angiotensin II receptor type 1,AGTR1,ENSG00000144891,False,None
CPB1,1360,17.7522,carboxypeptidase B1,CPB1,ENSG00000153002,False,None
AC092979.1,None,None,None,None,None,True,None
CPA3,1359,19.139412,carboxypeptidase A3,CPA3,ENSG00000163751,False,None
GYG1,2992,18.153412,glycogenin 1,GYG1,ENSG00000163754,False,None
HLTF,6596,17.70475,helicase like transcription factor,HLTF,ENSG00000071794,False,None
HLTF-AS1,100873945,27.059961,HLTF antisense RNA 1,HLTF-AS1,ENSG00000239718,False,None
HPS3,84343,17.57161,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1,HPS3,ENSG00000163755,False,None
CP,1356,17.176884,ceruloplasmin,CP,ENSG00000047457,False,None
AC093001.1,None,None,None,None,None,True,None
TM4SF18,116441,17.790823,transmembrane 4 L six family member 18,TM4SF18,ENSG00000163762,False,None
TM4SF1,4071,18.42225,transmembrane 4 L six family member 1,TM4SF1,ENSG00000169908,False,None
TM4SF1-AS1,100874091,27.062708,TM4SF1 antisense RNA 1,TM4SF1-AS1,ENSG00000240541,False,None
AC108751.4,None,None,None,None,None,True,None
TM4SF4,7104,17.642214,transmembrane 4 L six family member 4,TM4SF4,ENSG00000169903,False,None
WWTR1,25937,17.868029,WW domain containing transcription regulator 1,WWTR1,ENSG00000018408,False,None
WWTR1-AS1,100128025,27.063105,WWTR1 antisense RNA 1,WWTR1-AS1,ENSG00000241313,False,None
COMMD2,51122,17.569746,COMM domain containing 2,COMMD2,ENSG00000114744,False,None
ANKUB1,389161,18.622803,ankyrin repeat and ubiquitin domain containing 1,ANKUB1,ENSG00000206199,False,None
RNF13,11342,17.578863,ring finger protein 13,RNF13,ENSG00000082996,False,None
PFN2,5217,17.999142,profilin 2,PFN2,ENSG00000070087,False,None
AC117395.1,None,None,None,None,None,True,None
AC117386.2,None,None,None,None,None,True,None
