query,_id,_score,name,symbol,ensembl.gene,entrezgene,notfound,ensembl
TMEM128,85013,17.620619,transmembrane protein 128,TMEM128,ENSG00000132406,85013,,
LYAR,55646,17.58114,Ly1 antibody reactive,LYAR,ENSG00000145220,55646,,
ZBTB49,166793,17.592127,zinc finger and BTB domain containing 49,ZBTB49,ENSG00000168826,166793,,
AC105415.1,,,,,,,True,
NSG1,27065,17.99998,neuronal vesicle trafficking associated 1,NSG1,ENSG00000168824,27065,,
STX18,53407,17.56336,syntaxin 18,STX18,ENSG00000168818,53407,,
STX18-AS1,100507266,27.063417,STX18 antisense RNA 1 (head to head),STX18-AS1,ENSG00000247708,100507266,,
LINC01396,103695434,27.062708,long intergenic non-protein coding RNA 1396,LINC01396,ENSG00000273396,103695434,,
MSX1,4487,18.21356,msh homeobox 1,MSX1,ENSG00000163132,4487,,
CYTL1,54360,18.133503,cytokine like 1,CYTL1,ENSG00000170891,54360,,
STK32B,55351,18.272518,serine/threonine kinase 32B,STK32B,ENSG00000152953,55351,,
EVC2,132884,18.124466,EvC ciliary complex subunit 2,EVC2,ENSG00000173040,132884,,
EVC,2121,18.13065,EvC ciliary complex subunit 1,EVC,ENSG00000072840,2121,,
CRMP1,1400,17.672619,collapsin response mediator protein 1,CRMP1,ENSG00000072832,1400,,
C4orf50,389197,23.657417,chromosome 4 open reading frame 50,C4orf50,ENSG00000181215,389197,,
JAKMIP1,152789,17.73241,janus kinase and microtubule interacting protein 1,JAKMIP1,ENSG00000152969,152789,,
AC092442.1,,,,,,,True,
AC113615.1,,,,,,,True,
WFS1,7466,18.166513,wolframin ER transmembrane glycoprotein,WFS1,ENSG00000109501,7466,,
PPP2R2C,5522,18.185669,protein phosphatase 2 regulatory subunit Bgamma,PPP2R2C,ENSG00000074211,5522,,
MAN2B2,23324,17.889969,mannosidase alpha class 2B member 2,MAN2B2,ENSG00000013288,23324,,
MRFAP1,93621,20.399044,Morf4 family associated protein 1,MRFAP1,ENSG00000179010,93621,,
LINC02482,ENSG00000251580,26.27205,long intergenic non-protein coding RNA 2482,LINC02482,ENSG00000251580,,,
LINC02482,105374366,26.27205,long intergenic non-protein coding RNA 2482,LINC02482,,105374366,,
AC093323.1,,,,,,,True,
LINC002481,339988,25.030231,long intergenic non-protein coding RNA 2481,LINC02481,ENSG00000246526,339988,,
S100P,6286,18.160145,S100 calcium binding protein P,S100P,ENSG00000163993,6286,,
MRFAP1L1,114932,21.844183,Morf4 family associated protein 1 like 1,MRFAP1L1,ENSG00000178988,114932,,
BLOC1S4,55330,17.744276,biogenesis of lysosomal organelles complex 1 subunit 4,BLOC1S4,ENSG00000186222,55330,,
KIAA0232,9778,17.64389,KIAA0232,KIAA0232,ENSG00000170871,9778,,
TBC1D14,57533,17.741747,TBC1 domain family member 14,TBC1D14,ENSG00000132405,57533,,
AC097382.2,,,,,,,True,
CCDC96,257236,15.663882,cilia and flagella associated protein 184,CFAP184,ENSG00000173013,257236,,
TADA2B,93624,17.53403,transcriptional adaptor 2B,TADA2B,ENSG00000173011,93624,,
GRPEL1,80273,17.590544,"GrpE like 1, mitochondrial",GRPEL1,ENSG00000109519,80273,,
LINC02447,ENSG00000245468,26.270922,long intergenic non-protein coding RNA 2447,LINC02447,ENSG00000245468,,,
LINC02447,730971,26.270922,long intergenic non-protein coding RNA 2447,LINC02447,,730971,,
SORCS2,57537,17.587545,sortilin related VPS10 domain containing receptor 2,SORCS2,ENSG00000184985,57537,,
PSAPL1,768239,19.794073,prosaposin like 1,PSAPL1,ENSG00000178597,768239,,
AFAP1-AS1,84740,27.065735,AFAP1 antisense RNA 1,AFAP1-AS1,ENSG00000272620,84740,,
AFAP1,60312,17.584797,actin filament associated protein 1,AFAP1,ENSG00000196526,60312,,
AC097381.1,,,,,,,True,
ABLIM2,84448,17.554312,actin binding LIM protein family member 2,ABLIM2,ENSG00000163995,84448,,
AC097381.3,,,,,,,True,
AC097381.2,,,,,,,True,
SH3TC1,54436,18.066608,SH3 domain and tetratricopeptide repeats 1,SH3TC1,ENSG00000125089,54436,,
HTRA3,726,18.7557,calpain 5,CAPN5,ENSG00000149260,726,,
HTRA3,94031,18.203318,HtrA serine peptidase 3,HTRA3,ENSG00000170801,94031,,
LINC02517,105374374,27.065735,long intergenic non-protein coding RNA 2517,LINC02517,ENSG00000249145,105374374,,
AC104825.1,,,,,,,True,
ACOX3,8310,17.608274,"acyl-CoA oxidase 3, pristanoyl",ACOX3,ENSG00000087008,8310,,
TRMT44,152992,17.587088,tRNA methyltransferase 44 homolog,TRMT44,ENSG00000155275,152992,,
AC105345.2,,,,,,,True,
AC105345.1,,,,,,,True,
GPR78,27201,19.495457,G protein-coupled receptor 78,GPR78,ENSG00000155269,27201,,
CPZ,8532,17.606796,carboxypeptidase Z,CPZ,ENSG00000109625,8532,,
AC209005.1,,,,,,,True,
HMX1,3166,17.941029,H6 family homeobox 1,HMX1,,3166,,"[{'gene': 'ENSG00000288204'}, {'gene': 'ENSG00000215612'}]"
FAM90A26,100287045,24.568056,family with sequence similarity 90 member A26,FAM90A26,ENSG00000229924,100287045,,
USP17L10,100287144,27.065735,ubiquitin specific peptidase 17 like family member 10,USP17L10,ENSG00000231396,100287144,,
USP17L10,392188,25.05283,ubiquitin specific peptidase 17 like family member 8,USP17L8,,392188,,"[{'gene': 'ENSG00000237038'}, {'gene': 'ENSG00000285497'}]"
USP17L11,100287178,27.062708,ubiquitin specific peptidase 17 like family member 11,USP17L11,ENSG00000233136,100287178,,
USP17L12,100287205,27.06384,ubiquitin specific peptidase 17 like family member 12,USP17L12,ENSG00000227551,100287205,,
USP17L13,100287238,27.063547,ubiquitin specific peptidase 17 like family member 13,USP17L13,ENSG00000232399,100287238,,
USP17L15,100288520,27.063152,ubiquitin specific peptidase 17 like family member 15,USP17L15,ENSG00000223569,100288520,,
USP17L17,100287327,27.063417,ubiquitin specific peptidase 17 like family member 17,USP17L17,ENSG00000249104,100287327,,
USP17L18,100287364,27.063417,ubiquitin specific peptidase 17 like family member 18,USP17L18,ENSG00000250844,100287364,,
USP17L19,100287404,27.063417,ubiquitin specific peptidase 17 like family member 19,USP17L19,ENSG00000248920,100287404,,
USP17L20,100287441,27.06384,ubiquitin specific peptidase 17 like family member 20,USP17L20,ENSG00000250745,100287441,,
USP17L21,100287478,27.065735,ubiquitin specific peptidase 17 like family member 21,USP17L21,ENSG00000249811,100287478,,
USP17L22,100287513,27.065735,ubiquitin specific peptidase 17 like family member 22,USP17L22,ENSG00000248933,100287513,,
USP17L23,ENSG00000250913,26.270922,ubiquitin specific peptidase 17 like family member 23,USP17L23,ENSG00000250913,,,
USP17L23,101241878,26.270922,ubiquitin specific peptidase 17 like family member 23,USP17L23,,101241878,,
USP17L24,728369,27.063547,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
USP17L25,728373,27.063547,ubiquitin specific peptidase 17 like family member 25,USP17L25,ENSG00000230430,728373,,
USP17L25,728369,25.043629,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
USP17L26,728379,27.063152,ubiquitin specific peptidase 17 like family member 26,USP17L26,ENSG00000229579,728379,,
USP17L26,728369,25.044989,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
USP17L5,728386,26.27205,ubiquitin specific peptidase 17 like family member 5,USP17L5,ENSG00000227140,728386,,
USP17L27,728393,27.062708,ubiquitin specific peptidase 17 like family member 27,USP17L27,ENSG00000235780,728393,,
USP17L27,728369,25.039667,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
USP17L28,728400,27.062708,ubiquitin specific peptidase 17 like family member 28,USP17L28,ENSG00000231051,728400,,
USP17L28,728369,25.039667,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
USP17L29,728405,27.063105,ubiquitin specific peptidase 17 like family member 29,USP17L29,ENSG00000231637,728405,,
USP17L29,728369,25.042597,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
USP17L30,728419,27.063152,ubiquitin specific peptidase 17 like family member 30,USP17L30,ENSG00000228856,728419,,
USP17L30,728369,25.044989,ubiquitin specific peptidase 17 like family member 24,USP17L24,ENSG00000232264,728369,,
DEFB131A,644414,24.790306,defensin beta 131A,DEFB131A,ENSG00000186146,644414,,
SLC2A9,56606,18.204054,solute carrier family 2 member 9,SLC2A9,ENSG00000109667,56606,,
DRD5,1816,18.129599,dopamine receptor D5,DRD5,ENSG00000169676,1816,,
AC108199.1,,,,,,,True,
AC005674.1,,,,,,,True,
WDR1,9948,17.538721,WD repeat domain 1,WDR1,ENSG00000071127,9948,,
ZNF518B,85460,18.21356,zinc finger protein 518B,ZNF518B,ENSG00000178163,85460,,
CLNK,116449,17.343653,cytokine dependent hematopoietic cell linker,CLNK,ENSG00000109684,116449,,
AC084048.1,,,,,,,True,
LINC02498,102723525,27.063152,long intergenic non-protein coding RNA 2498,LINC02498,ENSG00000283083,102723525,,
HS3ST1,9957,17.558083,heparan sulfate-glucosamine 3-sulfotransferase 1,HS3ST1,ENSG00000002587,9957,,
AC025539.1,,,,,,,True,
AC005699.1,,,,,,,True,
LINC02360,105374484,27.063105,long intergenic non-protein coding RNA 2360,LINC02360,ENSG00000248300,105374484,,
AC108037.1,,,,,,,True,
LINC02270,101929019,27.065735,long intergenic non-protein coding RNA 2270,LINC02270,ENSG00000251210,101929019,,
AC007370.2,,,,,,,True,
AC007370.1,,,,,,,True,
RAB28,9364,17.570057,"RAB28, member RAS oncogene family",RAB28,ENSG00000157869,9364,,
LINC01097,285547,27.063547,long intergenic non-protein coding RNA 1097,LINC01097,ENSG00000281202,285547,,
NKX3-2,579,17.670204,NK3 homeobox 2,NKX3-2,ENSG00000109705,579,,
LINC01096,ENSG00000246095,26.268175,long intergenic non-protein coding RNA 1096,LINC01096,ENSG00000246095,,,
LINC01096,285548,26.268175,long intergenic non-protein coding RNA 1096,LINC01096,,285548,,
BOD1L1,259282,17.66098,biorientation of chromosomes in cell division 1 like 1,BOD1L1,ENSG00000038219,259282,,
LINC01182,101929071,27.063547,long intergenic non-protein coding RNA 1182,LINC01182,ENSG00000250634,101929071,,
AC007126.1,,,,,,,True,
AC073848.1,,,,,,,True,
AC092546.1,,,,,,,True,
AC006296.2,,,,,,,True,
AC006296.1,,,,,,,True,
LINC00504,201853,27.062708,long intergenic non-protein coding RNA 504,LINC00504,ENSG00000248360,201853,,
CPEB2-DT,441009,27.063417,CPEB2 divergent transcript,CPEB2-DT,ENSG00000247624,441009,,
CPEB2,132864,17.670204,cytoplasmic polyadenylation element binding protein 2,CPEB2,ENSG00000137449,132864,,
AC098829.1,,,,,,,True,
C1QTNF7,114905,18.045263,C1q and TNF related 7,C1QTNF7,ENSG00000163145,114905,,
AC099550.1,,,,,,,True,
CC2D2A,57545,17.621843,coiled-coil and C2 domain containing 2A,CC2D2A,ENSG00000048342,57545,,
AC116651.1,,,,,,,True,
FBXL5,26234,17.642214,F-box and leucine rich repeat protein 5,FBXL5,ENSG00000118564,26234,,
FAM200B,285550,20.291126,family with sequence similarity 200 member B,FAM200B,ENSG00000237765,285550,,
BST1,80055,20.091925,post-GPI attachment to proteins inositol deacylase 1,PGAP1,ENSG00000197121,80055,,
BST1,683,18.403515,bone marrow stromal cell antigen 1,BST1,ENSG00000109743,683,,
CD38,952,18.677717,CD38 molecule,CD38,ENSG00000004468,952,,
FGFBP1,9982,18.407095,fibroblast growth factor binding protein 1,FGFBP1,ENSG00000137440,9982,,
FGFBP2,83888,19.213469,fibroblast growth factor binding protein 2,FGFBP2,ENSG00000137441,83888,,
PROM1,8842,18.163748,prominin 1,PROM1,ENSG00000007062,8842,,
TAPT1,202018,18.102001,transmembrane anterior posterior transformation 1,TAPT1,ENSG00000169762,202018,,
AC108063.1,,,,,,,True,
TAPT1-AS1,202020,27.065735,TAPT1 antisense RNA 1 (head to head),TAPT1-AS1,ENSG00000263327,202020,,
AC097515.1,,,,,,,True,
LDB2,9079,18.209743,LIM domain binding 2,LDB2,ENSG00000169744,9079,,
AC106894.1,,,,,,,True,
LINC02493,101929123,27.063105,long intergenic non-protein coding RNA 2493,LINC02493,ENSG00000250819,101929123,,
QDPR,5860,18.149157,quinoid dihydropteridine reductase,QDPR,ENSG00000151552,5860,,
CLRN2,645104,17.63203,clarin 2,CLRN2,ENSG00000249581,645104,,
LAP3,7852,20.672192,C-X-C motif chemokine receptor 4,CXCR4,ENSG00000121966,7852,,
LAP3,51056,17.548618,leucine aminopeptidase 3,LAP3,ENSG00000002549,51056,,
AC006160.1,,,,,,,True,
MED28,80306,17.538406,mediator complex subunit 28,MED28,ENSG00000118579,80306,,
FAM184B,27146,17.707218,family with sequence similarity 184 member B,FAM184B,ENSG00000047662,27146,,
DCAF16,54876,19.320442,DDB1 and CUL4 associated factor 16,DCAF16,ENSG00000163257,54876,,
NCAPG,64151,17.604353,non-SMC condensin I complex subunit G,NCAPG,ENSG00000109805,64151,,
LCORL,254251,17.663172,ligand dependent nuclear receptor corepressor like,LCORL,ENSG00000178177,254251,,
AC093871.1,,,,,,,True,
LINC02438,ENSG00000248238,26.271364,long intergenic non-protein coding RNA 2438,LINC02438,ENSG00000248238,,,
LINC02438,107986264,26.271364,long intergenic non-protein coding RNA 2438,LINC02438,,107986264,,
AC024230.1,,,,,,,True,
AC110767.1,,,,,,,True,
SLIT2,6586,21.77397,slit guidance ligand 3,SLIT3,ENSG00000184347,6586,,
SLIT2,9353,17.538828,slit guidance ligand 2,SLIT2,ENSG00000145147,9353,,
PACRGL,133015,18.16633,parkin coregulated like,PACRGL,ENSG00000163138,133015,,
KCNIP4,80333,18.079432,potassium voltage-gated channel interacting protein 4,KCNIP4,,80333,,"[{'gene': 'ENSG00000281758'}, {'gene': 'ENSG00000185774'}]"
AC097505.1,,,,,,,True,
AC110296.1,,,,,,,True,
AC096576.3,,,,,,,True,
AC096576.2,,,,,,,True,
KCNIP4-IT1,359822,27.059961,KCNIP4 intronic transcript 1,KCNIP4-IT1,ENSG00000280650,359822,,
AC096719.1,,,,,,,True,
ADGRA3,166647,17.64345,adhesion G protein-coupled receptor A3,ADGRA3,ENSG00000152990,166647,,
AC097512.1,,,,,,,True,
AC114912.1,,,,,,,True,
AC092440.1,,,,,,,True,
AC093607.1,,,,,,,True,
ERVH-1,ENSG00000251292,26.268175,endogenous retrovirus group H member 1,ERVH-1,ENSG00000251292,,,
ERVH-1,100616446,26.268175,endogenous retrovirus group H member 1,ERVH-1,,100616446,,
PPARGC1A,10891,17.592836,PPARG coactivator 1 alpha,PPARGC1A,ENSG00000109819,10891,,
AC092834.1,,,,,,,True,
DHX15,1665,17.599865,DEAH-box helicase 15,DHX15,ENSG00000109606,1665,,
LINC02473,107986266,27.059961,long intergenic non-protein coding RNA 2473,LINC02473,ENSG00000261121,107986266,,
SOD3,6649,18.051107,superoxide dismutase 3,SOD3,ENSG00000109610,6649,,
CCDC149,91050,18.08857,coiled-coil domain containing 149,CCDC149,ENSG00000181982,91050,,
LGI2,55203,18.153412,leucine rich repeat LGI family member 2,LGI2,ENSG00000153012,55203,,
SEPSECS,51091,17.567484,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,SEPSECS,ENSG00000109618,51091,,
SEPSECS-AS1,ENSG00000281501,26.273949,SEPSECS antisense RNA 1 (head to head),SEPSECS-AS1,ENSG00000281501,,,
SEPSECS-AS1,285540,26.273949,SEPSECS antisense RNA 1 (head to head),SEPSECS-AS1,,285540,,
AC104662.2,,,,,,,True,
AC104662.1,,,,,,,True,
PI4K2B,55300,17.633602,phosphatidylinositol 4-kinase type 2 beta,PI4K2B,ENSG00000038210,55300,,
ZCCHC4,29063,17.59628,zinc finger CCHC-type containing 4,ZCCHC4,ENSG00000168228,29063,,
ANAPC4,29945,17.562582,anaphase promoting complex subunit 4,ANAPC4,ENSG00000053900,29945,,
AC092436.2,,,,,,,True,
SLC34A2,10568,18.364862,solute carrier family 34 member 2,SLC34A2,ENSG00000157765,10568,,
SEL1L3,23231,18.166645,SEL1L family member 3,SEL1L3,ENSG00000091490,23231,,
AC092436.4,,,,,,,True,
SMIM20,389203,17.72671,small integral membrane protein 20,SMIM20,ENSG00000250317,389203,,
AC133961.1,,,,,,,True,
LINC02357,105374540,27.063105,long intergenic non-protein coding RNA 2357,LINC02357,ENSG00000283314,105374540,,
RBPJ,3516,18.199162,recombination signal binding protein for immunoglobulin kappa J region,RBPJ,ENSG00000168214,3516,,
CCKAR,886,17.60321,cholecystokinin A receptor,CCKAR,ENSG00000163394,886,,
TBC1D19,55296,17.541925,TBC1 domain family member 19,TBC1D19,ENSG00000109680,55296,,
STIM2,57620,18.149954,stromal interaction molecule 2,STIM2,ENSG00000109689,57620,,
AC106047.1,,,,,,,True,
AC024132.2,,,,,,,True,
AC024132.1,,,,,,,True,
LINC02261,101929199,27.062708,long intergenic non-protein coding RNA 2261,LINC02261,ENSG00000249699,101929199,,
AC024132.3,,,,,,,True,
AC007106.1,,,,,,,True,
AC109588.1,,,,,,,True,
AC097480.1,,,,,,,True,
LINC02364,ENSG00000250190,26.273949,long intergenic non-protein coding RNA 2364,LINC02364,ENSG00000250190,,,
LINC02364,102723764,26.273949,long intergenic non-protein coding RNA 2364,LINC02364,,102723764,,
AC068944.1,,,,,,,True,
AC109349.1,,,,,,,True,
LINC02472,105374561,27.059961,long intergenic non-protein coding RNA 2472,LINC02472,ENSG00000248338,105374561,,
PCDH7,5099,18.15987,protocadherin 7,PCDH7,ENSG00000169851,5099,,
AC097716.1,,,,,,,True,
LINC02497,ENSG00000251182,26.270922,long intergenic non-protein coding RNA 2497,LINC02497,ENSG00000251182,,,
LINC02497,102723778,26.270922,long intergenic non-protein coding RNA 2497,LINC02497,,102723778,,
AC104071.1,,,,,,,True,
LINC02501,105374565,27.065735,long intergenic non-protein coding RNA 2501,LINC02501,ENSG00000249882,105374565,,
LINC02506,ENSG00000251129,26.273949,long intergenic non-protein coding RNA 2506,LINC02506,ENSG00000251129,,,
LINC02506,102723828,26.273949,long intergenic non-protein coding RNA 2506,LINC02506,,102723828,,
LINC02353,101927363,27.06384,long intergenic non-protein coding RNA 2353,LINC02353,ENSG00000251329,101927363,,
AC097535.1,,,,,,,True,
AC016687.3,,,,,,,True,
AC016687.2,,,,,,,True,
LINC02484,ENSG00000248685,26.268175,long intergenic non-protein coding RNA 2484,LINC02484,ENSG00000248685,,,
LINC02484,105374394,26.268175,long intergenic non-protein coding RNA 2484,LINC02484,,105374394,,
AC093689.1,,,,,,,True,
ARAP2,116984,17.709293,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",ARAP2,ENSG00000047365,116984,,
AC104078.1,,,,,,,True,
DTHD1,401124,17.677414,death domain containing 1,DTHD1,ENSG00000197057,401124,,
AC104078.2,,,,,,,True,
LINC02505,ENSG00000248215,26.268175,long intergenic non-protein coding RNA 2505,LINC02505,ENSG00000248215,,,
LINC02505,105374400,26.268175,long intergenic non-protein coding RNA 2505,LINC02505,,105374400,,
AL136537.1,,,,,,,True,
NWD2,57495,18.002373,NACHT and WD repeat domain containing 2,NWD2,ENSG00000174145,57495,,
C4orf19,55286,22.67158,chromosome 4 open reading frame 19,C4orf19,ENSG00000154274,55286,,
AC027607.1,,,,,,,True,
RELL1,768211,17.650583,RELT like 1,RELL1,ENSG00000181826,768211,,
PGM2,55276,17.493296,phosphoglucomutase 2,PGM2,ENSG00000169299,55276,,
TBC1D1,23216,17.665573,TBC1 domain family member 1,TBC1D1,ENSG00000065882,23216,,
PTTG2,10744,22.248629,pituitary tumor-transforming 2,PTTG2,ENSG00000250254,10744,,
AC098680.1,,,,,,,True,
LINC02513,105374410,27.059961,long intergenic non-protein coding RNA 2513,LINC02513,ENSG00000248227,105374410,,
LINC01258,101928776,27.059961,long intergenic non-protein coding RNA 1258,LINC01258,ENSG00000249534,101928776,,
LINC01259,106144599,27.06384,long intergenic non-protein coding RNA 1259,LINC01259,ENSG00000249667,106144599,,
LINC02278,ENSG00000251635,26.27205,long intergenic non-protein coding RNA 2278,LINC02278,ENSG00000251635,,,
LINC02278,105374411,26.27205,long intergenic non-protein coding RNA 2278,LINC02278,,105374411,,
AC021860.1,,,,,,,True,
KLF3,51274,17.621843,KLF transcription factor 3,KLF3,ENSG00000109787,51274,,
TLR10,81793,19.360262,toll like receptor 10,TLR10,ENSG00000174123,81793,,
TLR1,7096,18.346376,toll like receptor 1,TLR1,ENSG00000174125,7096,,
TLR6,10333,19.063564,toll like receptor 6,TLR6,ENSG00000174130,10333,,
FAM114A1,92689,17.629679,family with sequence similarity 114 member A1,FAM114A1,ENSG00000197712,92689,,
TMEM156,80008,18.38742,transmembrane protein 156,TMEM156,ENSG00000121895,80008,,
KLHL5,51088,17.62733,kelch like family member 5,KLHL5,ENSG00000109790,51088,,
AC079921.1,,,,,,,True,
AC079921.2,,,,,,,True,
WDR19,57728,17.629282,WD repeat domain 19,WDR19,ENSG00000157796,57728,,
RFC1,6573,20.62356,solute carrier family 19 member 1,SLC19A1,ENSG00000173638,6573,,
RFC1,5981,17.473831,replication factor C subunit 1,RFC1,ENSG00000035928,5981,,
KLB,152831,17.629725,klotho beta,KLB,ENSG00000134962,152831,,
RPL9,6133,16.993044,ribosomal protein L9,RPL9,ENSG00000163682,6133,,
LIAS,11019,17.496866,lipoic acid synthetase,LIAS,ENSG00000121897,11019,,
UGDH,7358,17.562977,UDP-glucose 6-dehydrogenase,UGDH,ENSG00000109814,7358,,
UGDH-AS1,100885776,27.063547,UGDH antisense RNA 1,UGDH-AS1,ENSG00000249348,100885776,,
SMIM14,201895,17.60217,small integral membrane protein 14,SMIM14,ENSG00000163683,201895,,
AC108471.2,,,,,,,True,
UBE2K,3093,18.100868,ubiquitin conjugating enzyme E2 K,UBE2K,ENSG00000078140,3093,,
PDS5A,23244,17.617577,PDS5 cohesin associated factor A,PDS5A,ENSG00000121892,23244,,
N4BP2,55728,17.623383,NEDD4 binding protein 2,N4BP2,ENSG00000078177,55728,,
RHOH,399,17.54326,ras homolog family member H,RHOH,ENSG00000168421,399,,
AC095057.2,,,,,,,True,
LINC02265,101060498,27.063417,long intergenic non-protein coding RNA 2265,LINC02265,ENSG00000249241,101060498,,
CHRNA9,55584,18.092472,cholinergic receptor nicotinic alpha 9 subunit,CHRNA9,ENSG00000174343,55584,,
RBM47,54502,17.597855,RNA binding motif protein 47,RBM47,ENSG00000163694,54502,,
AC098869.2,,,,,,,True,
NSUN7,79730,18.143559,NOP2/Sun RNA methyltransferase family member 7,NSUN7,ENSG00000179299,79730,,
APBB2,323,18.203762,amyloid beta precursor protein binding family B member 2,APBB2,ENSG00000163697,323,,
AC131953.1,,,,,,,True,
UCHL1-AS1,101410542,24.222546,UCHL1 divergent transcript,UCHL1-DT,ENSG00000251173,101410542,,
UCHL1,7345,17.63399,ubiquitin C-terminal hydrolase L1,UCHL1,ENSG00000154277,7345,,
LIMCH1,22998,18.067053,LIM and calponin homology domains 1,LIMCH1,ENSG00000064042,22998,,
AC105389.2,,,,,,,True,
PHOX2B,8929,18.238068,paired like homeobox 2B,PHOX2B,ENSG00000109132,8929,,
AC105389.3,,,,,,,True,
AC105389.1,,,,,,,True,
LINC00682,101927074,27.063417,long intergenic non-protein coding RNA 682,LINC00682,ENSG00000245870,101927074,,
AC108210.1,,,,,,,True,
TMEM33,55161,17.608986,transmembrane protein 33,TMEM33,ENSG00000109133,55161,,
DCAF4L1,285429,22.393654,DDB1 and CUL4 associated factor 4 like 1,DCAF4L1,ENSG00000182308,285429,,
AC106052.1,,,,,,,True,
SLC30A9,10463,17.57913,solute carrier family 30 member 9,SLC30A9,ENSG00000014824,10463,,
BEND4,389206,17.93784,BEN domain containing 4,BEND4,ENSG00000188848,389206,,
AC111006.1,,,,,,,True,
AC024022.1,,,,,,,True,
SHISA3,152573,17.643076,shisa family member 3,SHISA3,ENSG00000178343,152573,,
ATP8A1,10396,17.530012,ATPase phospholipid transporting 8A1,ATP8A1,ENSG00000124406,10396,,
AC096734.2,,,,,,,True,
AC096734.1,,,,,,,True,
GRXCR1,389207,18.244701,glutaredoxin and cysteine rich domain containing 1,GRXCR1,ENSG00000215203,389207,,
AC111198.1,,,,,,,True,
LINC02383,105374436,27.063547,long intergenic non-protein coding RNA 2383,LINC02383,ENSG00000248143,105374436,,
AC110799.1,,,,,,,True,
LINC02475,100506827,27.065735,long intergenic non-protein coding RNA 2475,LINC02475,ENSG00000251350,100506827,,
KCTD8,386617,18.09813,potassium channel tetramerization domain containing 8,KCTD8,ENSG00000183783,386617,,
YIPF7,285525,18.20358,Yip1 domain family member 7,YIPF7,ENSG00000177752,285525,,
GUF1,60558,17.409122,GTP binding elongation factor GUF1,GUF1,ENSG00000151806,60558,,
GNPDA2,132789,17.90649,glucosamine-6-phosphate deaminase 2,GNPDA2,ENSG00000163281,132789,,
AC096586.2,,,,,,,True,
AC096586.1,,,,,,,True,
AC108467.1,,,,,,,True,
GABRG1,2565,17.670471,gamma-aminobutyric acid type A receptor subunit gamma1,GABRG1,ENSG00000163285,2565,,
GABRA2,2555,18.159746,gamma-aminobutyric acid type A receptor subunit alpha2,GABRA2,ENSG00000151834,2555,,
AC095060.1,,,,,,,True,
COX7B2,170712,22.248232,cytochrome c oxidase subunit 7B2,COX7B2,ENSG00000170516,170712,,
GABRA4,2557,17.689182,gamma-aminobutyric acid type A receptor subunit alpha4,GABRA4,ENSG00000109158,2557,,
GABRB1,2560,17.79647,gamma-aminobutyric acid type A receptor subunit beta1,GABRB1,ENSG00000163288,2560,,
COMMD8,54951,17.597454,COMM domain containing 8,COMMD8,ENSG00000169019,54951,,
ATP10D,57205,17.67279,ATPase phospholipid transporting 10D (putative),ATP10D,ENSG00000145246,57205,,
AC107398.2,,,,,,,True,
CORIN,10699,17.601776,"corin, serine peptidase",CORIN,ENSG00000145244,10699,,
AC107068.2,,,,,,,True,
AC107068.1,,,,,,,True,
NFXL1,152518,17.613314,"nuclear transcription factor, X-box binding like 1",NFXL1,ENSG00000170448,152518,,
NIPAL1,152519,18.210138,NIPA like domain containing 1,NIPAL1,ENSG00000163293,152519,,
CNGA1,1259,17.22486,cyclic nucleotide gated channel subunit alpha 1,CNGA1,ENSG00000198515,1259,,
TXK,7294,17.888071,TXK tyrosine kinase,TXK,ENSG00000074966,7294,,
TEC,100124696,17.635122,transient erythroblastopenia of childhood,TEC,,100124696,,
TEC,7006,17.635122,tec protein tyrosine kinase,TEC,ENSG00000135605,7006,,
SLAIN2,57606,17.554045,SLAIN motif family member 2,SLAIN2,ENSG00000109171,57606,,
SLC10A4,201780,17.572054,solute carrier family 10 member 4,SLC10A4,ENSG00000145248,201780,,
ZAR1,326340,17.712036,zygote arrest 1,ZAR1,ENSG00000182223,326340,,
FRYL,285527,17.57012,FRY like transcription coactivator,FRYL,ENSG00000075539,285527,,
OCIAD1,54940,17.929977,OCIA domain containing 1,OCIAD1,ENSG00000109180,54940,,
OCIAD1-AS1,100861517,27.06384,OCIAD1 antisense RNA 1,OCIAD1-AS1,ENSG00000248256,100861517,,
OCIAD2,132299,17.806232,OCIA domain containing 2,OCIAD2,ENSG00000145247,132299,,
CWH43,80157,18.220871,cell wall biogenesis 43 C-terminal homolog,CWH43,ENSG00000109182,80157,,
DCUN1D4,23142,17.553602,defective in cullin neddylation 1 domain containing 4,DCUN1D4,ENSG00000109184,23142,,
AC027271.1,,,,,,,True,
LRRC66,339977,18.340979,leucine rich repeat containing 66,LRRC66,ENSG00000188993,339977,,
SGCB,6443,17.544674,sarcoglycan beta,SGCB,ENSG00000163069,6443,,
LINC02480,105377652,27.059961,long intergenic non-protein coding RNA 2480,LINC02480,ENSG00000251040,105377652,,
